Open,High,Low,Close,Volume,Dividends,Stock Splits
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44289900,0.0,0.0
161.47000122070312,165.05999755859375,161.1300048828125,162.9600067138672,24185000,0.0,0.0
211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88646900,0.0,0.0
